Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,200.49,201.03,198.59,201.02,222353500.0,181.92,0.0,181.92,181.92
2016-01-05,2016,1,5,Tuesday,01,2016-01,201.4,201.9,200.05,201.36,110845800.0,182.23,0.001691387428373936,182.075,182.075
2016-01-06,2016,1,6,Wednesday,01,2016-01,198.34,200.06,197.6,198.82,152112600.0,179.93,-0.012614121364926234,181.35999999999999,181.35999999999999
2016-01-07,2016,1,7,Thursday,01,2016-01,195.33,197.44,193.59,194.05,213436100.0,175.61,-0.02399139122405547,179.92249999999999,179.92249999999999
2016-01-08,2016,1,8,Friday,01,2016-01,195.19,195.85,191.58,191.92,209817200.0,173.68,-0.010976741340900431,178.67399999999998,178.67399999999998
2016-01-11,2016,1,11,Monday,02,2016-02,193.01,193.41,189.82,192.11,187941300.0,173.85,0.000990119886210783,177.86999999999998,177.86999999999998
2016-01-12,2016,1,12,Tuesday,02,2016-02,193.82,194.55,191.14,193.66,172330500.0,175.26,0.008068297212589837,177.49714285714282,177.49714285714282
2016-01-13,2016,1,13,Wednesday,02,2016-02,194.45,194.86,188.38,188.83,221168900.0,170.89,-0.024940669485370326,176.67125,176.67125
2016-01-14,2016,1,14,Thursday,02,2016-02,189.55,193.26,187.66,191.93,240795600.0,173.69,0.016416621975966494,176.34,176.34
2016-01-15,2016,1,15,Friday,02,2016-02,186.77,188.76,185.52,187.81,324846400.0,169.96,-0.02146594968255877,175.702,175.702
2016-01-19,2016,1,19,Tuesday,03,2016-03,189.96,190.11,186.2,188.06,195244400.0,170.19,0.0013310346815065266,175.2009090909091,175.2009090909091
2016-01-20,2016,1,20,Wednesday,03,2016-03,185.03,187.5,181.02,185.65,286547800.0,168.01,-0.012815047147857861,174.6016666666667,174.6016666666667
2016-01-21,2016,1,21,Thursday,03,2016-03,186.21,188.87,184.64,186.69,195772900.0,168.95,0.005602058235539609,174.16692307692307,174.16692307692307
2016-01-22,2016,1,22,Friday,03,2016-03,189.78,190.76,188.88,190.52,168319600.0,172.42,0.020515200214445528,174.04214285714286,174.04214285714286
2016-01-25,2016,1,25,Monday,04,2016-04,189.92,190.15,187.41,187.64,130371700.0,169.81,-0.015116428902418821,173.17714285714285,173.76000000000002
2016-01-26,2016,1,26,Tuesday,04,2016-04,188.42,190.53,188.02,190.2,141036800.0,172.13,0.013642930242659945,172.4557142857143,173.658125
